ParentSKU,Site_id,Year,Month,Category_id,Qty,Price,Net_sales,Discount,ATC,MRP,Pack_size,Pack_unit_id,Zone,Master_category,Size,Rank
F0033,BANGALORE,2017,12,0,1098.0,6702.8,48135.0,0,48135.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,1,0,1287.0,6702.8,77637.0,0,77637.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,2,0,603.0,6702.8,26371.0,0,26371.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,3,0,1078.0,6702.8,47509.0,0,47509.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,4,0,1287.0,6702.8,73809.0,0,73809.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,5,0,1287.0,6702.8,106141.0,0,106141.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,6,0,1287.0,6702.8,85865.0,0,85865.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,7,0,1287.0,6702.8,63750.0,0,63750.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,8,0,889.0,6702.8,36077.0,0,36077.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,9,0,1200.0,6702.8,52678.0,0,52678.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,10,0,1150.0,6702.8,47509.0,0,47509.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,11,0,556.0,6702.8,22543.0,0,22543.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2018,12,0,1076.0,6702.8,45382.0,0,45382.0,6702.8,30.0,GM,SOUTH,3,30gm,4
F0033,BANGALORE,2019,1,0,694.0,6702.8,29999.0,0,29999.0,6702.8,30.0,GM,SOUTH,3,30gm,4
